Epoch,Train_loss,Train_acc,Val_loss,Val_acc,Lr,Batch_Size,Device
1,2.1694,0.1952,1.981,0.3047,0.01,32,cuda
2,1.9903,0.2982,2.1429,0.2704,0.01,32,cuda
3,1.8369,0.3691,1.6806,0.428,0.01,32,cuda
4,1.7031,0.42,1.3439,0.5547,0.01,32,cuda
5,1.5074,0.5081,1.2825,0.5666,0.01,32,cuda
6,1.3874,0.541,1.1951,0.6002,0.01,32,cuda
7,1.2983,0.5801,1.1044,0.6454,0.01,32,cuda
8,1.2441,0.5907,1.1382,0.6427,0.01,32,cuda
9,1.2076,0.6123,1.0013,0.661,0.01,32,cuda
10,1.121,0.6332,1.0604,0.6569,0.01,32,cuda
11,1.0657,0.6533,0.9566,0.6919,0.01,32,cuda
12,1.0316,0.6662,0.8647,0.7211,0.01,32,cuda
13,0.9903,0.6792,0.7984,0.7503,0.01,32,cuda
14,0.9646,0.6916,0.7388,0.7734,0.01,32,cuda
15,0.9518,0.6941,0.7251,0.7697,0.01,32,cuda
16,0.9053,0.7073,0.7429,0.766,0.01,32,cuda
17,0.8716,0.7215,0.7582,0.7643,0.01,32,cuda
18,0.8702,0.7213,0.6819,0.7894,0.01,32,cuda
19,0.8381,0.7332,0.7444,0.7734,0.01,32,cuda
20,0.8247,0.7344,0.6976,0.7812,0.01,32,cuda
21,0.8214,0.7399,0.6865,0.7809,0.01,32,cuda
22,0.7823,0.7475,0.7511,0.7643,0.01,32,cuda
23,0.7773,0.7532,0.6235,0.804,0.01,32,cuda
24,0.7448,0.763,0.6832,0.7863,0.01,32,cuda
25,0.7424,0.7634,0.671,0.7894,0.01,32,cuda
26,0.7303,0.7645,0.6332,0.8006,0.01,32,cuda
27,0.6961,0.7771,0.6271,0.804,0.01,32,cuda
28,0.7013,0.7773,0.596,0.8145,0.01,32,cuda
29,0.6784,0.7848,0.6981,0.7884,0.01,32,cuda
30,0.6964,0.7802,0.6336,0.7928,0.01,32,cuda
31,0.6553,0.7906,0.5744,0.8274,0.01,32,cuda
32,0.6692,0.784,0.6124,0.8064,0.01,32,cuda
33,0.65,0.7926,0.6055,0.8142,0.01,32,cuda
34,0.6386,0.7951,0.592,0.8224,0.01,32,cuda
35,0.6316,0.797,0.5904,0.8302,0.01,32,cuda
36,0.6215,0.797,0.5644,0.8288,0.01,32,cuda
37,0.6108,0.8028,0.585,0.8183,0.01,32,cuda
38,0.6065,0.809,0.5788,0.8247,0.01,32,cuda
39,0.5887,0.8105,0.561,0.823,0.01,32,cuda
