Epoch,Train_loss,Train_acc,Val_loss,Val_acc,Lr,Batch_Size,Device
1,2.5089,0.167,2.0775,0.2334,0.1,4,cuda
2,2.1021,0.2374,2.058,0.252,0.1,4,cuda
3,2.0271,0.2727,1.9979,0.3165,0.1,4,cuda
4,1.9465,0.3138,1.7908,0.3704,0.1,4,cuda
5,1.8572,0.3481,1.7552,0.3894,0.1,4,cuda
6,1.7577,0.3918,1.5647,0.4532,0.1,4,cuda
7,1.6562,0.425,1.5996,0.4593,0.1,4,cuda
8,1.6299,0.4394,1.466,0.5136,0.1,4,cuda
9,1.5493,0.4815,1.5119,0.5315,0.1,4,cuda
10,1.4963,0.5005,1.2446,0.6001,0.1,4,cuda
11,1.3963,0.5379,1.037,0.6618,0.1,4,cuda
12,1.3634,0.5571,1.0798,0.6499,0.1,4,cuda
13,1.3193,0.5688,1.1196,0.6194,0.1,4,cuda
14,1.2695,0.586,1.0897,0.655,0.1,4,cuda
15,1.2479,0.5907,1.0719,0.6672,0.1,4,cuda
16,1.2079,0.6165,0.931,0.7059,0.1,4,cuda
17,1.2036,0.6058,0.8164,0.7324,0.1,4,cuda
18,1.1803,0.6158,0.8784,0.7205,0.1,4,cuda
19,1.1385,0.6326,0.9504,0.7005,0.1,4,cuda
20,1.0901,0.6524,0.891,0.7123,0.1,4,cuda
21,1.1002,0.6491,0.9898,0.6866,0.1,4,cuda
22,1.0821,0.6546,0.9966,0.6638,0.1,4,cuda
23,1.059,0.6556,0.835,0.7249,0.1,4,cuda
24,1.0428,0.6669,0.9837,0.7015,0.1,4,cuda
25,1.0172,0.6699,0.7336,0.7619,0.1,4,cuda
26,1.0068,0.6774,0.7606,0.7639,0.1,4,cuda
27,0.9849,0.6853,0.8423,0.7212,0.1,4,cuda
28,0.9689,0.6909,0.6769,0.7815,0.1,4,cuda
29,0.9715,0.691,0.656,0.7873,0.1,4,cuda
30,0.954,0.6938,0.6355,0.8002,0.1,4,cuda
31,0.9365,0.6995,0.7351,0.771,0.1,4,cuda
32,0.9423,0.6978,0.7503,0.7581,0.1,4,cuda
33,0.9165,0.7075,0.9434,0.7103,0.1,4,cuda
34,0.9143,0.7065,0.6237,0.8033,0.1,4,cuda
35,0.9082,0.7094,0.6876,0.79,0.1,4,cuda
36,0.8881,0.7165,0.7211,0.7768,0.1,4,cuda
