Epoch,Train_loss,Train_acc,Val_loss,Val_acc,Lr,Batch_Size,Device
1,2.4526,0.165,2.2185,0.2038,0.1,16,cuda
2,2.1189,0.2278,2.0126,0.2812,0.1,16,cuda
3,2.0328,0.2744,1.9212,0.319,0.1,16,cuda
4,1.943,0.3127,1.7774,0.3913,0.1,16,cuda
5,1.8589,0.3474,1.7137,0.43,0.1,16,cuda
6,1.7471,0.4016,1.5491,0.4623,0.1,16,cuda
7,1.6345,0.4464,1.4238,0.5279,0.1,16,cuda
8,1.5589,0.4778,1.3426,0.574,0.1,16,cuda
9,1.456,0.5182,1.179,0.6107,0.1,16,cuda
10,1.3574,0.5526,1.1096,0.6505,0.1,16,cuda
11,1.291,0.5827,1.0905,0.645,0.1,16,cuda
12,1.2495,0.5938,1.1338,0.6579,0.1,16,cuda
13,1.1944,0.6141,0.9497,0.6902,0.1,16,cuda
14,1.1445,0.6288,0.9439,0.6936,0.1,16,cuda
15,1.1005,0.6424,0.8613,0.7249,0.1,16,cuda
16,1.0407,0.6654,0.8609,0.7072,0.1,16,cuda
17,0.9946,0.6726,0.9111,0.7062,0.1,16,cuda
18,0.9798,0.682,0.9077,0.715,0.1,16,cuda
19,0.9528,0.6862,0.8815,0.7289,0.1,16,cuda
20,0.932,0.6961,0.9779,0.697,0.1,16,cuda
21,0.8969,0.7062,0.8588,0.7592,0.1,16,cuda
22,0.8746,0.7174,0.675,0.786,0.1,16,cuda
23,0.8337,0.7277,0.7355,0.7894,0.1,16,cuda
24,0.8157,0.7312,1.2011,0.7201,0.1,16,cuda
25,0.8087,0.7376,1.6581,0.7368,0.1,16,cuda
26,0.7763,0.7482,0.715,0.7779,0.1,16,cuda
27,0.7864,0.7491,0.576,0.8261,0.1,16,cuda
28,0.782,0.749,0.7039,0.7836,0.1,16,cuda
29,0.75,0.7544,0.6095,0.8128,0.1,16,cuda
30,0.7361,0.759,0.736,0.7673,0.1,16,cuda
31,0.7283,0.7629,0.5939,0.8173,0.1,16,cuda
32,0.7179,0.7643,0.5683,0.8217,0.1,16,cuda
33,0.7039,0.7682,0.6496,0.8026,0.1,16,cuda
34,0.6952,0.7726,0.6714,0.787,0.1,16,cuda
35,0.673,0.7828,0.5796,0.8128,0.1,16,cuda
36,0.6778,0.7791,0.5781,0.8125,0.1,16,cuda
37,0.6627,0.7898,0.5573,0.8224,0.1,16,cuda
38,0.6688,0.7861,0.5597,0.821,0.1,16,cuda
39,0.6616,0.7873,0.6205,0.7935,0.1,16,cuda
40,0.6495,0.7902,0.5732,0.8227,0.1,16,cuda
41,0.6496,0.7872,0.5712,0.819,0.1,16,cuda
42,0.6224,0.7988,0.5323,0.8312,0.1,16,cuda
43,0.6198,0.7979,0.6849,0.7779,0.1,16,cuda
44,0.6252,0.8003,0.4899,0.8468,0.1,16,cuda
45,0.5956,0.8067,0.6103,0.8132,0.1,16,cuda
46,0.6086,0.8021,0.5623,0.8264,0.1,16,cuda
47,0.5953,0.8065,0.5128,0.8414,0.1,16,cuda
48,0.5914,0.8045,0.4487,0.8577,0.1,16,cuda
49,0.5869,0.806,0.4679,0.8485,0.1,16,cuda
50,0.5862,0.8071,0.596,0.8186,0.1,16,cuda
51,0.5754,0.815,0.5055,0.8478,0.1,16,cuda
52,0.5789,0.8142,0.4881,0.8471,0.1,16,cuda
53,0.5587,0.8162,0.5513,0.8251,0.1,16,cuda
54,0.5676,0.8137,0.5045,0.8363,0.1,16,cuda
55,0.5446,0.8179,0.5294,0.8387,0.1,16,cuda
56,0.5444,0.8244,0.4725,0.8492,0.1,16,cuda
57,0.5548,0.8189,0.5499,0.838,0.1,16,cuda
58,0.5469,0.819,0.445,0.8614,0.1,16,cuda
59,0.5638,0.8179,0.6059,0.8234,0.1,16,cuda
60,0.5245,0.8285,0.5506,0.8291,0.1,16,cuda
61,0.5353,0.8272,0.4489,0.8635,0.1,16,cuda
62,0.5223,0.8262,0.4505,0.8539,0.1,16,cuda
63,0.5401,0.8291,0.4412,0.8573,0.1,16,cuda
64,0.5235,0.8325,0.4917,0.8522,0.1,16,cuda
65,0.5166,0.8355,0.5714,0.8312,0.1,16,cuda
66,0.5156,0.8332,0.5544,0.8305,0.1,16,cuda
67,0.5167,0.8346,0.4812,0.8546,0.1,16,cuda
68,0.4987,0.8367,0.462,0.8587,0.1,16,cuda
69,0.5095,0.8346,0.4793,0.8478,0.1,16,cuda
70,0.4976,0.8395,0.4327,0.8645,0.1,16,cuda
71,0.5006,0.8362,0.4915,0.8509,0.1,16,cuda
72,0.489,0.8447,0.4901,0.8492,0.1,16,cuda
73,0.4928,0.8364,0.5244,0.8434,0.1,16,cuda
74,0.4904,0.8383,0.4593,0.855,0.1,16,cuda
75,0.4899,0.8382,0.4163,0.8675,0.1,16,cuda
76,0.4782,0.8444,0.4064,0.8692,0.1,16,cuda
77,0.4823,0.8428,0.5219,0.8478,0.1,16,cuda
78,0.4772,0.8454,0.6039,0.8193,0.1,16,cuda
79,0.497,0.837,0.4532,0.855,0.1,16,cuda
80,0.4832,0.8425,0.4764,0.8604,0.1,16,cuda
81,0.4805,0.8431,0.4049,0.8696,0.1,16,cuda
82,0.4884,0.8421,0.5876,0.8308,0.1,16,cuda
83,0.4838,0.8415,0.5153,0.8458,0.1,16,cuda
84,0.4752,0.8437,0.392,0.8811,0.1,16,cuda
85,0.4594,0.8475,0.4078,0.8736,0.1,16,cuda
86,0.4837,0.8422,0.3837,0.8774,0.1,16,cuda
87,0.4774,0.8461,0.4419,0.8618,0.1,16,cuda
88,0.4813,0.8463,0.4022,0.874,0.1,16,cuda
89,0.4512,0.8521,0.4769,0.8448,0.1,16,cuda
90,0.4684,0.8509,0.4405,0.8638,0.1,16,cuda
91,0.4497,0.8534,0.446,0.8618,0.1,16,cuda
92,0.4525,0.8527,0.463,0.8614,0.1,16,cuda
93,0.4696,0.8498,0.5199,0.8529,0.1,16,cuda
94,0.4437,0.8581,0.5545,0.8359,0.1,16,cuda
95,0.458,0.8552,0.4702,0.8543,0.1,16,cuda
96,0.4511,0.8574,0.3709,0.8832,0.1,16,cuda
97,0.4453,0.8548,0.4332,0.8638,0.1,16,cuda
98,0.438,0.8596,0.4167,0.8641,0.1,16,cuda
99,0.4391,0.8553,0.4459,0.8563,0.1,16,cuda
100,0.4477,0.855,0.3947,0.874,0.1,16,cuda
101,0.4379,0.8607,0.3521,0.8893,0.1,16,cuda
102,0.4236,0.8608,0.3709,0.8865,0.1,16,cuda
103,0.4314,0.8591,0.4313,0.8723,0.1,16,cuda
104,0.4298,0.8621,0.4431,0.858,0.1,16,cuda
105,0.435,0.8629,0.5116,0.8431,0.1,16,cuda
106,0.4475,0.857,0.4318,0.8611,0.1,16,cuda
107,0.4189,0.8633,0.4178,0.8709,0.1,16,cuda
108,0.4246,0.8594,0.3915,0.8767,0.1,16,cuda
109,0.4248,0.861,0.4426,0.8733,0.1,16,cuda
110,0.4271,0.8625,0.4144,0.8726,0.1,16,cuda
111,0.4188,0.8644,0.5465,0.8454,0.1,16,cuda
112,0.4166,0.8648,0.413,0.873,0.1,16,cuda
113,0.3136,0.8975,0.2792,0.9147,0.010000000000000002,16,cuda
114,0.2596,0.9157,0.2663,0.9209,0.010000000000000002,16,cuda
115,0.2471,0.9227,0.2643,0.9212,0.010000000000000002,16,cuda
116,0.2309,0.9258,0.263,0.9202,0.010000000000000002,16,cuda
117,0.2248,0.9297,0.2647,0.9215,0.010000000000000002,16,cuda
118,0.2188,0.9314,0.2658,0.9232,0.010000000000000002,16,cuda
119,0.2159,0.9333,0.2515,0.9219,0.010000000000000002,16,cuda
120,0.2105,0.9353,0.2556,0.9226,0.010000000000000002,16,cuda
121,0.2041,0.9371,0.252,0.9266,0.010000000000000002,16,cuda
122,0.2032,0.937,0.2634,0.9222,0.010000000000000002,16,cuda
123,0.2124,0.9334,0.2618,0.9256,0.010000000000000002,16,cuda
124,0.2032,0.9341,0.2625,0.9205,0.010000000000000002,16,cuda
125,0.197,0.9368,0.2669,0.9232,0.010000000000000002,16,cuda
126,0.1902,0.9364,0.252,0.927,0.010000000000000002,16,cuda
127,0.1829,0.9452,0.271,0.9249,0.010000000000000002,16,cuda
128,0.1828,0.9413,0.2672,0.9215,0.010000000000000002,16,cuda
129,0.1895,0.9406,0.2659,0.9236,0.010000000000000002,16,cuda
130,0.1718,0.945,0.2659,0.9239,0.010000000000000002,16,cuda
131,0.1722,0.9464,0.2606,0.9222,0.0010000000000000002,16,cuda
132,0.1724,0.9449,0.253,0.9263,0.0010000000000000002,16,cuda
133,0.1695,0.9459,0.2596,0.9256,0.0010000000000000002,16,cuda
134,0.1787,0.945,0.2451,0.927,0.0010000000000000002,16,cuda
135,0.1776,0.9434,0.2574,0.9287,0.0010000000000000002,16,cuda
136,0.174,0.9455,0.2539,0.927,0.0010000000000000002,16,cuda
137,0.1745,0.9437,0.2578,0.9249,0.0010000000000000002,16,cuda
138,0.1781,0.9451,0.2478,0.9283,0.0010000000000000002,16,cuda
139,0.1674,0.9472,0.2486,0.928,0.0010000000000000002,16,cuda
140,0.1667,0.9486,0.247,0.9276,0.0010000000000000002,16,cuda
141,0.1628,0.9489,0.2479,0.9273,0.0010000000000000002,16,cuda
142,0.1553,0.9515,0.2507,0.927,0.0010000000000000002,16,cuda
143,0.1635,0.9491,0.2506,0.9266,0.0010000000000000002,16,cuda
144,0.1583,0.9521,0.2508,0.9263,0.0010000000000000002,16,cuda
145,0.166,0.948,0.2469,0.927,0.0010000000000000002,16,cuda
146,0.1675,0.9457,0.2514,0.9297,0.00010000000000000003,16,cuda
147,0.1672,0.947,0.2533,0.9236,0.00010000000000000003,16,cuda
148,0.1618,0.9479,0.2482,0.9246,0.00010000000000000003,16,cuda
149,0.1541,0.9522,0.2476,0.9293,0.00010000000000000003,16,cuda
150,0.1659,0.9484,0.2513,0.9249,0.00010000000000000003,16,cuda
151,0.16,0.949,0.246,0.928,0.00010000000000000003,16,cuda
152,0.1629,0.9475,0.2511,0.926,0.00010000000000000003,16,cuda
153,0.167,0.9465,0.2523,0.9263,0.00010000000000000003,16,cuda
154,0.1674,0.9477,0.2479,0.9243,0.00010000000000000003,16,cuda
155,0.1657,0.9477,0.2551,0.9243,0.00010000000000000003,16,cuda
156,0.1698,0.9452,0.2438,0.928,0.00010000000000000003,16,cuda
157,0.1625,0.9498,0.2474,0.9263,0.00010000000000000003,16,cuda
158,0.1558,0.951,0.2515,0.928,0.00010000000000000003,16,cuda
159,0.1613,0.9492,0.2503,0.9273,0.00010000000000000003,16,cuda
160,0.1609,0.9503,0.2527,0.9276,0.00010000000000000003,16,cuda
161,0.153,0.9523,0.2475,0.929,0.00010000000000000003,16,cuda
162,0.161,0.9489,0.2513,0.926,0.00010000000000000003,16,cuda
163,0.1551,0.9502,0.2447,0.929,0.00010000000000000003,16,cuda
164,0.1564,0.9494,0.2465,0.927,0.00010000000000000003,16,cuda
165,0.1637,0.9505,0.2496,0.9293,0.00010000000000000003,16,cuda
166,0.164,0.9476,0.2525,0.9263,0.00010000000000000003,16,cuda
167,0.1624,0.949,0.2441,0.9273,0.00010000000000000003,16,cuda
168,0.1646,0.9466,0.2521,0.9253,1.0000000000000004e-05,16,cuda
169,0.1523,0.9515,0.2482,0.928,1.0000000000000004e-05,16,cuda
170,0.1588,0.9514,0.2436,0.928,1.0000000000000004e-05,16,cuda
171,0.1534,0.9517,0.2573,0.9222,1.0000000000000004e-05,16,cuda
172,0.1616,0.9505,0.2475,0.9283,1.0000000000000004e-05,16,cuda
173,0.1592,0.9504,0.2493,0.9253,1.0000000000000004e-05,16,cuda
174,0.1624,0.9474,0.2478,0.9283,1.0000000000000004e-05,16,cuda
175,0.1672,0.9469,0.2485,0.9273,1.0000000000000004e-05,16,cuda
176,0.1652,0.947,0.2505,0.9253,1.0000000000000004e-05,16,cuda
177,0.1589,0.9512,0.2473,0.927,1.0000000000000004e-05,16,cuda
178,0.1558,0.9525,0.2533,0.9263,1.0000000000000004e-05,16,cuda
179,0.1626,0.9498,0.2477,0.9283,1.0000000000000004e-05,16,cuda
180,0.1554,0.9512,0.2523,0.9273,1.0000000000000004e-05,16,cuda
181,0.1642,0.9476,0.2509,0.9276,1.0000000000000004e-05,16,cuda
182,0.1691,0.9478,0.2466,0.9287,1.0000000000000004e-06,16,cuda
183,0.162,0.948,0.2474,0.9297,1.0000000000000004e-06,16,cuda
184,0.171,0.9462,0.2492,0.9283,1.0000000000000004e-06,16,cuda
185,0.1659,0.948,0.2501,0.9263,1.0000000000000004e-06,16,cuda
186,0.162,0.9483,0.2467,0.9304,1.0000000000000004e-06,16,cuda
187,0.166,0.9486,0.2491,0.9276,1.0000000000000004e-06,16,cuda
188,0.1601,0.9506,0.2454,0.9276,1.0000000000000004e-06,16,cuda
189,0.1694,0.9457,0.252,0.9249,1.0000000000000004e-06,16,cuda
190,0.1684,0.9456,0.2468,0.9253,1.0000000000000004e-06,16,cuda
191,0.164,0.9494,0.2458,0.928,1.0000000000000004e-06,16,cuda
192,0.1637,0.9477,0.246,0.9283,1.0000000000000004e-06,16,cuda
193,0.1556,0.9512,0.2465,0.9283,1.0000000000000005e-07,16,cuda
194,0.1694,0.9469,0.2551,0.926,1.0000000000000005e-07,16,cuda
195,0.1678,0.9477,0.2452,0.9276,1.0000000000000005e-07,16,cuda
196,0.1624,0.9496,0.2473,0.9276,1.0000000000000005e-07,16,cuda
197,0.1697,0.9483,0.2487,0.9273,1.0000000000000005e-07,16,cuda
198,0.1564,0.9503,0.246,0.9273,1.0000000000000005e-07,16,cuda
199,0.1681,0.9474,0.2517,0.928,1.0000000000000005e-07,16,cuda
200,0.1554,0.9505,0.2487,0.9263,1.0000000000000005e-07,16,cuda
201,0.1643,0.9505,0.2485,0.9276,1.0000000000000005e-07,16,cuda
202,0.1588,0.9511,0.252,0.9249,1.0000000000000005e-07,16,cuda
203,0.1733,0.9468,0.2496,0.9266,1.0000000000000005e-07,16,cuda
204,0.1731,0.9459,0.2499,0.927,1.0000000000000005e-08,16,cuda
205,0.1741,0.9464,0.2472,0.927,1.0000000000000005e-08,16,cuda
206,0.1577,0.9506,0.2475,0.9283,1.0000000000000005e-08,16,cuda
207,0.155,0.9504,0.2462,0.926,1.0000000000000005e-08,16,cuda
208,0.1719,0.9472,0.2476,0.9297,1.0000000000000005e-08,16,cuda
209,0.1563,0.9516,0.2475,0.9273,1.0000000000000005e-08,16,cuda
210,0.1518,0.9537,0.2487,0.9293,1.0000000000000005e-08,16,cuda
211,0.1631,0.949,0.2467,0.9297,1.0000000000000005e-08,16,cuda
212,0.1638,0.9502,0.2437,0.929,1.0000000000000005e-08,16,cuda
213,0.1587,0.9505,0.2461,0.9283,1.0000000000000005e-08,16,cuda
214,0.1617,0.9478,0.2487,0.93,1.0000000000000005e-08,16,cuda
215,0.1627,0.948,0.2535,0.9266,1.0000000000000005e-08,16,cuda
216,0.1544,0.9519,0.245,0.9297,1.0000000000000005e-08,16,cuda
217,0.1663,0.9454,0.2516,0.9249,1.0000000000000005e-08,16,cuda
