Epoch,Train_loss,Train_acc,Val_loss,Val_acc,Lr,Batch_Size,Device
1,1.887,0.3479,1.3872,0.5615,0.001,64,cuda
2,1.449,0.5194,1.4988,0.5533,0.001,64,cuda
3,1.2823,0.5831,1.1247,0.6437,0.001,64,cuda
4,1.1702,0.6195,0.9125,0.7133,0.001,64,cuda
5,1.09,0.6455,1.0046,0.7031,0.001,64,cuda
6,1.0131,0.6739,0.8894,0.7191,0.001,64,cuda
7,0.979,0.6889,0.8199,0.7296,0.001,64,cuda
8,0.9405,0.7016,0.8607,0.7408,0.001,64,cuda
9,0.8937,0.7184,0.836,0.7218,0.001,64,cuda
10,0.8559,0.7253,0.6634,0.784,0.001,64,cuda
11,0.8482,0.7291,0.8208,0.7405,0.001,64,cuda
12,0.8271,0.7358,0.6027,0.8084,0.001,64,cuda
13,0.7743,0.7564,0.6094,0.8047,0.001,64,cuda
14,0.7709,0.7572,0.6457,0.8003,0.001,64,cuda
15,0.744,0.7644,0.7101,0.7762,0.001,64,cuda
16,0.7027,0.7779,0.6404,0.7921,0.001,64,cuda
17,0.6887,0.7775,0.8139,0.7351,0.001,64,cuda
18,0.6917,0.7807,0.5584,0.8237,0.001,64,cuda
19,0.6476,0.794,0.6127,0.7908,0.001,64,cuda
20,0.6539,0.792,0.6115,0.8043,0.001,64,cuda
21,0.6328,0.795,1.1199,0.7177,0.001,64,cuda
22,0.6182,0.8035,0.4718,0.8475,0.001,64,cuda
23,0.62,0.801,0.7096,0.7908,0.001,64,cuda
24,0.5775,0.816,0.6336,0.8054,0.001,64,cuda
25,0.5859,0.8133,0.6762,0.7877,0.001,64,cuda
26,0.5773,0.8157,0.4735,0.8556,0.001,64,cuda
27,0.5555,0.8214,0.4923,0.8471,0.001,64,cuda
28,0.5537,0.8218,0.7842,0.7731,0.001,64,cuda
29,0.5464,0.8302,0.5665,0.8349,0.001,64,cuda
30,0.5352,0.83,0.471,0.8529,0.001,64,cuda
31,0.5125,0.8354,0.5376,0.8322,0.001,64,cuda
32,0.5219,0.8319,0.517,0.8438,0.001,64,cuda
33,0.5007,0.8365,0.488,0.855,0.001,64,cuda
34,0.4803,0.8472,0.5071,0.84,0.001,64,cuda
35,0.5027,0.8398,0.5714,0.8247,0.001,64,cuda
36,0.4719,0.852,0.5954,0.8325,0.001,64,cuda
37,0.4607,0.8551,0.5152,0.8448,0.001,64,cuda
38,0.4687,0.8528,0.5115,0.8451,0.001,64,cuda
39,0.4458,0.8596,0.4805,0.8607,0.001,64,cuda
40,0.4508,0.857,0.4324,0.8651,0.001,64,cuda
41,0.4148,0.8662,0.5529,0.8414,0.001,64,cuda
42,0.4347,0.8633,0.5135,0.8621,0.001,64,cuda
43,0.4048,0.8703,0.4339,0.8648,0.001,64,cuda
44,0.4327,0.8608,0.4816,0.8638,0.001,64,cuda
45,0.4089,0.8623,0.6493,0.8169,0.001,64,cuda
46,0.4116,0.8701,0.7927,0.7884,0.001,64,cuda
47,0.4181,0.8676,0.4248,0.8645,0.001,64,cuda
48,0.3994,0.8722,0.4764,0.8699,0.001,64,cuda
49,0.4,0.8738,0.5781,0.8427,0.001,64,cuda
50,0.3872,0.8745,0.4603,0.8679,0.001,64,cuda
51,0.3944,0.8754,0.5379,0.8499,0.001,64,cuda
52,0.3886,0.8778,0.6232,0.8251,0.001,64,cuda
53,0.3706,0.8813,0.5029,0.8499,0.001,64,cuda
54,0.3673,0.8864,0.5529,0.8373,0.001,64,cuda
55,0.3465,0.89,0.4414,0.8764,0.001,64,cuda
56,0.365,0.8806,0.5825,0.8383,0.001,64,cuda
57,0.3559,0.884,0.4328,0.874,0.001,64,cuda
58,0.3579,0.8816,0.69,0.822,0.001,64,cuda
59,0.2818,0.9089,0.2962,0.9096,0.0001,64,cuda
60,0.2505,0.9208,0.3008,0.909,0.0001,64,cuda
61,0.2361,0.9243,0.3036,0.9093,0.0001,64,cuda
62,0.2385,0.9247,0.302,0.9141,0.0001,64,cuda
63,0.2428,0.9231,0.3053,0.913,0.0001,64,cuda
64,0.2278,0.9291,0.3028,0.9144,0.0001,64,cuda
65,0.2195,0.9271,0.3007,0.9144,0.0001,64,cuda
66,0.2255,0.9281,0.2917,0.9164,0.0001,64,cuda
67,0.2257,0.9291,0.2958,0.9168,0.0001,64,cuda
68,0.2296,0.9284,0.2883,0.9192,0.0001,64,cuda
69,0.2119,0.9324,0.2892,0.9188,0.0001,64,cuda
70,0.2223,0.9299,0.2915,0.9161,0.0001,64,cuda
71,0.2218,0.9329,0.2879,0.9161,0.0001,64,cuda
72,0.2072,0.9353,0.2957,0.9164,0.0001,64,cuda
73,0.21,0.9332,0.29,0.9158,0.0001,64,cuda
74,0.2057,0.9338,0.2929,0.9198,0.0001,64,cuda
75,0.2167,0.9321,0.303,0.9124,0.0001,64,cuda
76,0.2187,0.9306,0.2923,0.9158,0.0001,64,cuda
77,0.2003,0.9357,0.294,0.9168,0.0001,64,cuda
78,0.2037,0.9353,0.2899,0.9171,0.0001,64,cuda
79,0.2056,0.9326,0.2942,0.9202,0.0001,64,cuda
80,0.2106,0.9339,0.3034,0.9124,0.0001,64,cuda
81,0.1977,0.9346,0.3017,0.9158,0.0001,64,cuda
82,0.2135,0.934,0.2962,0.9178,0.0001,64,cuda
83,0.2053,0.9352,0.2895,0.9185,1e-05,64,cuda
84,0.1936,0.9393,0.2914,0.9198,1e-05,64,cuda
85,0.193,0.9416,0.2918,0.9185,1e-05,64,cuda
86,0.1973,0.9377,0.2918,0.9181,1e-05,64,cuda
87,0.1989,0.9391,0.2882,0.9185,1e-05,64,cuda
88,0.1905,0.9404,0.2875,0.9175,1e-05,64,cuda
89,0.1909,0.9386,0.2866,0.9188,1e-05,64,cuda
90,0.2085,0.9339,0.288,0.9202,1e-05,64,cuda
91,0.1816,0.9419,0.2886,0.9192,1e-05,64,cuda
92,0.1904,0.9403,0.2829,0.9229,1e-05,64,cuda
93,0.1892,0.9405,0.2876,0.9202,1e-05,64,cuda
94,0.1921,0.9405,0.2905,0.9185,1e-05,64,cuda
95,0.1835,0.944,0.2931,0.9168,1e-05,64,cuda
96,0.1991,0.9394,0.2927,0.9168,1e-05,64,cuda
97,0.1935,0.9404,0.2909,0.9178,1e-05,64,cuda
98,0.1873,0.9433,0.2905,0.9185,1e-05,64,cuda
99,0.1926,0.9386,0.2892,0.9188,1e-05,64,cuda
100,0.1862,0.9422,0.2883,0.9195,1e-05,64,cuda
