Epoch,Train_loss,Train_acc,Val_loss,Val_acc,Lr,Batch_Size,Device
1,1.8115,0.3941,1.6321,0.5132,0.01,32,cuda
2,1.3823,0.5499,1.0813,0.6573,0.01,32,cuda
3,1.1802,0.6187,1.4961,0.5713,0.01,32,cuda
4,1.0514,0.6635,0.8292,0.7395,0.01,32,cuda
5,0.9697,0.6906,0.7601,0.7609,0.01,32,cuda
6,0.9021,0.7078,0.7034,0.7799,0.01,32,cuda
7,0.8353,0.7343,0.5854,0.8186,0.01,32,cuda
8,0.7929,0.7447,0.6697,0.7986,0.01,32,cuda
9,0.7578,0.7588,0.5854,0.8166,0.01,32,cuda
10,0.7077,0.7702,0.5891,0.82,0.01,32,cuda
11,0.6807,0.778,0.5269,0.8359,0.01,32,cuda
12,0.6719,0.7858,0.6048,0.8128,0.01,32,cuda
13,0.6328,0.7978,0.554,0.8176,0.01,32,cuda
14,0.5998,0.8067,0.5564,0.8363,0.01,32,cuda
15,0.586,0.8142,0.5729,0.8308,0.01,32,cuda
16,0.5726,0.8201,0.488,0.8478,0.01,32,cuda
17,0.5591,0.8227,0.4649,0.8512,0.01,32,cuda
18,0.5292,0.8269,0.7008,0.7955,0.01,32,cuda
19,0.5341,0.8313,0.4433,0.8614,0.01,32,cuda
20,0.5136,0.8281,0.4257,0.8675,0.01,32,cuda
21,0.5012,0.8398,0.3968,0.8774,0.01,32,cuda
22,0.4773,0.8408,0.4406,0.8631,0.01,32,cuda
23,0.4693,0.8498,0.3799,0.8838,0.01,32,cuda
24,0.4392,0.8564,0.4039,0.8733,0.01,32,cuda
25,0.4318,0.8627,0.4183,0.8699,0.01,32,cuda
26,0.4554,0.8568,0.4363,0.8682,0.01,32,cuda
27,0.4274,0.8594,0.3875,0.8811,0.01,32,cuda
28,0.4156,0.8697,0.3645,0.8916,0.01,32,cuda
29,0.3914,0.8759,0.3765,0.8825,0.01,32,cuda
30,0.3927,0.8741,0.4035,0.8801,0.01,32,cuda
31,0.3964,0.8704,0.3839,0.8865,0.01,32,cuda
32,0.3878,0.8801,0.4021,0.8774,0.01,32,cuda
33,0.388,0.8744,0.4277,0.8821,0.01,32,cuda
34,0.357,0.8876,0.5351,0.8638,0.01,32,cuda
35,0.3657,0.8838,0.3938,0.8815,0.01,32,cuda
36,0.351,0.887,0.3651,0.8832,0.01,32,cuda
37,0.335,0.892,0.3738,0.8821,0.01,32,cuda
38,0.3431,0.8899,0.3676,0.8923,0.01,32,cuda
39,0.3532,0.8857,0.356,0.8967,0.01,32,cuda
40,0.3218,0.8977,0.4005,0.8696,0.01,32,cuda
41,0.3301,0.8916,0.3349,0.8998,0.01,32,cuda
42,0.3243,0.8954,0.3819,0.8845,0.01,32,cuda
43,0.3127,0.8993,0.3237,0.8995,0.01,32,cuda
44,0.3114,0.901,0.4353,0.8764,0.01,32,cuda
45,0.315,0.9,0.386,0.8903,0.01,32,cuda
46,0.294,0.9018,0.3666,0.8913,0.01,32,cuda
47,0.3073,0.9016,0.3796,0.8821,0.01,32,cuda
48,0.2815,0.9116,0.3919,0.8879,0.01,32,cuda
49,0.2835,0.9106,0.3738,0.8944,0.01,32,cuda
50,0.3034,0.9059,0.3683,0.8899,0.01,32,cuda
51,0.2979,0.9044,0.5364,0.8427,0.01,32,cuda
52,0.3016,0.9059,0.3794,0.8957,0.01,32,cuda
53,0.2845,0.9082,0.334,0.8971,0.01,32,cuda
54,0.2634,0.9149,0.327,0.9052,0.01,32,cuda
55,0.2252,0.9268,0.2637,0.9168,0.001,32,cuda
56,0.1983,0.9357,0.2698,0.9168,0.001,32,cuda
57,0.1942,0.939,0.264,0.9188,0.001,32,cuda
58,0.1898,0.9412,0.2646,0.9154,0.001,32,cuda
59,0.1882,0.9403,0.2597,0.9198,0.001,32,cuda
60,0.1768,0.9438,0.2601,0.9195,0.001,32,cuda
61,0.1709,0.9464,0.2739,0.9185,0.001,32,cuda
62,0.1655,0.9495,0.2599,0.9198,0.001,32,cuda
63,0.173,0.9479,0.2594,0.9188,0.001,32,cuda
64,0.1742,0.9458,0.2625,0.9178,0.001,32,cuda
65,0.1549,0.9488,0.2661,0.9202,0.001,32,cuda
66,0.1548,0.9504,0.2733,0.9188,0.001,32,cuda
67,0.158,0.9492,0.2803,0.9154,0.001,32,cuda
68,0.1649,0.9484,0.2676,0.9171,0.001,32,cuda
69,0.1561,0.9489,0.2797,0.9151,0.001,32,cuda
70,0.1569,0.9518,0.2848,0.9168,0.001,32,cuda
71,0.1677,0.9471,0.2711,0.9188,0.001,32,cuda
72,0.1595,0.9476,0.2704,0.9192,0.001,32,cuda
73,0.1578,0.9475,0.2598,0.9222,0.001,32,cuda
74,0.1626,0.9488,0.2649,0.9229,0.001,32,cuda
75,0.1541,0.9528,0.2643,0.9219,0.0001,32,cuda
76,0.1489,0.9504,0.2617,0.9209,0.0001,32,cuda
77,0.1524,0.9516,0.2647,0.9219,0.0001,32,cuda
78,0.1488,0.9524,0.2658,0.9188,0.0001,32,cuda
79,0.1505,0.9534,0.2603,0.9226,0.0001,32,cuda
80,0.1529,0.9522,0.2615,0.9205,0.0001,32,cuda
81,0.1496,0.9531,0.2637,0.9219,0.0001,32,cuda
82,0.1403,0.9565,0.2664,0.9209,0.0001,32,cuda
83,0.1408,0.9569,0.2654,0.9222,0.0001,32,cuda
84,0.149,0.9534,0.2615,0.9222,0.0001,32,cuda
85,0.1451,0.9546,0.2645,0.9236,0.0001,32,cuda
86,0.1413,0.955,0.2666,0.9212,1e-05,32,cuda
87,0.1389,0.9559,0.2636,0.9219,1e-05,32,cuda
88,0.1519,0.9529,0.2655,0.9205,1e-05,32,cuda
89,0.1394,0.9561,0.2607,0.9219,1e-05,32,cuda
90,0.1557,0.9525,0.2607,0.9243,1e-05,32,cuda
